mark_status,station_key,station_name,display_name,available_lines,click_x_px,click_y_px,click_x_pct,click_y_pct,click_radius_px,click_shape,source_method,manual_override_note
완료,어린이대공원,어린이대공원,어린이대공원역,7,3078,1364,60.1171875,47.36111111111111,24,circle,auto_from_visual_nodes_avg,
완료,자양,자양,자양역,7,2906,1538,56.75781250000001,53.40277777777778,24,circle,auto_from_visual_nodes_avg,
완료,청담,청담,청담역,7,2846,1596,55.58593750000001,55.41666666666667,24,circle,auto_from_visual_nodes_avg,
완료,강남구청,강남구청,강남구청역,7,2776,1668,54.21875000000001,57.91666666666667,24,circle,auto_from_visual_nodes_avg,
완료,학동,학동,학동역,7,2696,1748,52.65625000000001,60.69444444444444,24,circle,auto_from_visual_nodes_avg,
완료,논현,논현,논현역,7,2618,1826,51.1328125,63.40277777777777,24,circle,auto_from_visual_nodes_avg,
완료,반포,반포,반포역,7,2554,1892,49.8828125,65.69444444444444,24,circle,auto_from_visual_nodes_avg,
완료,내방,내방,내방역,7,2340,1964,45.703125,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,남성,남성,남성역,7,2096,1964,40.9375,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,숭실대입구,숭실대입구,숭실대입구역,7,2000,1964,39.0625,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,상도,상도,상도역,7,1904,1964,37.1875,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,장승배기,장승배기,장승배기역,7,1808,1964,35.3125,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,신대방삼거리,신대방삼거리,신대방삼거리역,7,1712,1964,33.4375,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,보라매,보라매,보라매역,7,1616,1964,31.5625,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,신풍,신풍,신풍역,7,1520,1964,29.6875,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,남구로,남구로,남구로역,7,1340,1964,26.171875,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,가산디지털단지,가산디지털단지,가산디지털단지역,7,1260,1964,24.609375,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,철산,철산,철산역,7,1172,1964,22.890625,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,광명사거리,광명사거리,광명사거리역,7,1084,1964,21.171875,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,천왕,천왕,천왕역,7,996,1964,19.453125,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,온수,온수,온수역,7,996,1820,19.453125,63.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,암사역사공원,암사역사공원,암사역사공원역,8,3556,1636,69.453125,56.80555555555556,24,circle,auto_from_visual_nodes_avg,
완료,암사,암사,암사역,8,3464,1636,67.65625,56.80555555555556,24,circle,auto_from_visual_nodes_avg,
완료,강동구청,강동구청,강동구청역,8,3240,1636,63.28125,56.80555555555556,24,circle,auto_from_visual_nodes_avg,
완료,몽촌토성,몽촌토성,몽촌토성역,8,3140,1636,61.328125,56.80555555555556,24,circle,auto_from_visual_nodes_avg,
완료,석촌,석촌,석촌역,8,3130,1964,61.1328125,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,송파,송파,송파역,8,3216,2052,62.81250000000001,71.25,24,circle,auto_from_visual_nodes_avg,
완료,문정,문정,문정역,8,3360,2204,65.625,76.52777777777777,24,circle,auto_from_visual_nodes_avg,
